hip,ra,dec,mag
491,1.46996926,12.52743978,8.91
493,1.47850515,18.23536692,7.45
492,1.47853237,-14.4327289,9.57
494,1.47971363,-68.81162782,8.99
495,1.48151411,18.07622626,8.58
496,1.48628758,24.56904604,6.9
497,1.48768965,49.62234797,7.55
498,1.4928082,44.73937991,7.93
499,1.49565621,-54.64056978,9.71
500,1.50012278,-48.67872936,9.57
501,1.50054698,-39.13751717,8.55
502,1.50224247,28.27696051,6.62
503,1.50439459,16.45207976,7.89
504,1.51336417,24.91664125,7.51
505,1.51413834,63.67965857,7.36
506,1.51463805,53.27691513,8.66
507,1.51738261,-84.09820798,8.51
508,1.51773179,40.41853643,6.65
509,1.5216826,-31.44433776,9.67
510,1.53342667,9.71496461,7.8
511,1.53351571,0.12143808,8.21
512,1.53776681,-29.15139035,7.9
513,1.54746485,87.88938595,8.94
514,1.54892826,-23.53856546,9.82
515,1.55483056,-1.88705095,8.69
516,1.55910676,-32.81635348,8.57
517,1.56378577,-55.49869634,8.89
518,1.56474395,58.43668966,5.98
519,1.57000983,-64.24051492,7.92
520,1.57055075,-10.77847003,7.6
521,1.57776022,-1.2380176,8.22
522,1.5777634,-49.07509405,5.7
523,1.5787602,-65.83919547,12.17
524,1.58300753,-12.01719883,8.75
525,1.58393383,40.89871965,6.93
526,1.58409669,60.45712221,7.97
527,1.58655035,68.63612309,8.06
528,1.59090838,-24.60254997,10.13
529,1.60400514,-18.03825665,7.31
530,1.60817878,42.75275856,8.35
531,1.61052855,64.19616859,5.57
532,1.61191859,-74.40111182,9.85
533,1.61287384,-16.73761149,9.16
534,1.61464392,-52.93312701,9.03
535,1.61846773,-43.62772225,10.07
536,1.62196859,27.09013496,9.76
537,1.6304798,-21.50128389,9.35
538,1.63200384,5.82530112,10.95
539,1.64150277,43.78227474,8.87
540,1.64810682,28.55343687,6.68
541,1.64849601,-47.58474443,9.69
542,1.64950882,56.51450029,8.05
543,1.65072541,-25.29566618,10.3
544,1.65221045,29.02193518,6.07
545,1.66031971,33.65427137,8.51
546,1.66184341,-36.08467578,7.71
2189,,,7.82
547,1.6650581,-24.62067192,8.56
548,1.66696429,70.16926509,8.26
549,1.67070715,65.58769959,11.55
550,1.67432667,56.32466451,8.62
551,1.6826371,8.65733696,10.92
552,1.68869427,-6.26131902,10.51
553,1.69021404,-21.09148372,9.83
554,1.69303391,-13.74868727,9.84
555,1.69415329,10.06899229,9.74
556,1.6955746,-4.34981191,8.21
557,1.69574083,23.49381547,8.72
558,1.69675999,-70.58944075,8.03
559,1.69982422,44.61284407,9.0
560,1.70843563,-23.10742543,6.19
561,1.70960701,68.16712552,11.79
562,1.71097517,20.55974087,8.22
563,1.71117886,31.13044847,7.93
564,1.71380391,-45.86393212,10.18
565,1.71801703,1.86101143,8.98
566,1.71819731,49.38212406,9.13
567,1.72206966,-38.87768936,6.91
568,1.72236956,-55.16079775,8.79
569,1.72480379,-3.62572272,8.23
570,1.73076217,-30.60851144,12.19
571,1.73226563,-30.6030818,10.24
572,1.73390197,38.20259978,8.83
573,1.73459748,-43.98527,7.62
574,1.74792713,-40.41400635,8.96
